Model,MSE,RMSE,MAE,MAPE
RNN,0.013128679245710373,22.51626354344253,20.7303441067461,7.97506473653825
LSTM,0.005357904825359583,14.384119475999839,11.878076780322425,4.5593651674735804
GRU,0.006195507012307644,15.467646132503951,14.301233609696155,5.509343587184093
Attention_RNN,0.007062502671033144,16.514490422878183,13.224672499106413,4.986174163322447
Attention_LSTM,0.02766895480453968,32.68753542519026,28.510104184346098,10.765773363464044
Attention_GRU,0.018494315445423126,26.724213856710303,22.96415669667226,8.686814843235775
